sh601778	 N晶科
sh600747	 退市大控
sh600735	 新华锦
sh600725	 ST云维
sh600717	 天津港
sh600709	 ST生态
sh600701	 *ST工新
sh600700	 *ST数码
sh600696	 ST岩石
sh600682	 南京新百
sh600680	 *ST上普
sh600677	 *ST航通
sh600675	 中华企业
sh600672	 *ST华圣
sh600670	 *ST斯达
sh600669	 *ST鞍成
sh600663	 陆家嘴
sh600659	 *ST花雕
sh600657	 信达地产
sh600656	 退市博元
sh600655	 豫园股份
sh600653	 申华控股
sh600646	 ST国嘉
sh600644	 乐山电力
sh600632	 华联商厦
sh600631	 百联股份
sh600629	 华建集团
sh600627	 上电股份
sh600625	 PT水仙
sh600619	 海立股份
sh600615	 丰华股份
sh600610	 *ST毅达
sh600607	 上实医药
sh600591	 *ST上航
sh600589	 广东榕泰
sh600567	 山鹰纸业
sh600565	 迪马股份
sh600558	 大西洋
sh600553	 太行水泥
sh600517	 国网英大
sh600485	 *ST信威
sh600477	 杭萧钢构
sh600472	 包头铝业
sh600468	 百利电气
sh600462	 *ST九有
sh600433	 冠豪高新
sh600432	 退市吉恩
sh600421	 ST仰帆
sh600415	 小商品城
sh600401	 退市海润
sh600400	 红豆股份
sh600397	 安源煤业
sh600376	 首开股份
sh600372	 中航电子
sh600357	 承德钒钛
sh600327	 大东方
sh600312	 平高电气
sh600307	 酒钢宏兴
sh600296	 S兰铝
sh600295	 鄂尔多斯
sh600286	 S*ST国瓷
sh600284	 浦东建设
sh600283	 钱江水利
sh600280	 *ST中商
sh600270	 外运发展
sh600266	 城建发展
sh600263	 路桥建设
sh600256	 广汇能源
sh600253	 天方药业
sh600240	 退市华业
sh600231	 凌钢股份
sh600226	 瀚叶股份
sh600208	 新湖中宝
sh600205	 S山东铝
sh600185	 格力地产
sh600181	 S*ST云大
sh600178	 东安动力
sh600170	 上海建工
sh600169	 太原重工
sh600166	 福田汽车
sh600165	 新日恒力
sh600162	 香江控股
sh600145	 *ST新亿
sh600138	 中青旅
sh600129	 太极集团
sh600121	 郑州煤电
sh600117	 西宁特钢
sh600114	 东睦股份
sh600109	 国金证券
sh600102	 莱钢股份
sh600098	 广州发展
sh600092	 S*ST精密
sh600091	 ST明科
sh600087	 退市长油
sh600073	 上海梅林
sh600065	 *ST联谊
sh600035	 楚天高速
sh600023	 浙能电力
sh600022	 山东钢铁
sh600005	 武钢股份
sh600003	 ST东北高
sh600002	 齐鲁石化
sh600001	 邯郸钢铁
sh600519	 贵州茅台
sh603127	 昭衍新药
sh600211	 西藏药业
sh603733	 仙鹤股份
sh600697	 欧亚集团
sh600053	 九鼎投资
sh603963	 大理药业
sh603617	 君禾股份
sh600718	 东软集团
sh603225	 新凤鸣
sh600833	 第一医药
sh600605	 汇通能源
sh601858	 中国科传
sh600999	 招商证券
sh603026	 石大胜华
sh600900	 长江电力
sh600775	 南京熊猫
sh600749	 西藏旅游
sh600737	 中粮糖业
sh600262	 北方股份
sh601689	 拓普集团
sh600246	 万通地产
sh603767	 中马传动
sh600731	 湖南海利
sh600132	 重庆啤酒
sh603018	 中设集团
sh600678	 四川金顶
sh603366	 日出东方
sh603007	 花王股份
sh600152	 维科技术
sh601789	 宁波建工
sh601515	 东风股份
sh600773	 西藏城投
sh603679	 华体科技
sh603128	 华贸物流
sh600723	 首商股份
sh600714	 金瑞矿业
sh600671	 天目药业
sh601118	 海南橡胶
sh600976	 健民集团
sh600796	 钱江生化
sh600456	 宝钛股份
sh600050	 中国联通
sh603867	 新化股份
sh603712	 七一二
sh603609	 禾丰牧业
sh600292	 远达环保
sh603011	 合锻智能
sh601566	 九牧王
sh600448	 华纺股份
sh600335	 国机汽车
sh600265	 ST景谷
sh600192	 长城电工
sh600812	 华北制药
sh603298	 杭叉集团
sh600635	 大众公用
sh600608	 ST沪科
sh600986	 科达股份
sh600724	 宁波富达
sh600207	 安彩高科
sh603378	 亚士创能
sh601579	 会稽山
sh600006	 东风汽车
sh603444	 吉比特
sh600767	 ST运盛
sh603993	 洛阳钼业
sh603628	 清源股份
sh600810	 神马股份
sh600277	 亿利洁能
sh600251	 冠农股份
sh600076	 康欣新材
sh603388	 元成股份
sh601018	 宁波港
sh600903	 贵州燃气
sh600038	 中直股份
sh603725	 天安新材
sh603317	 天味食品
sh603080	 新疆火炬
sh601992	 金隅集团
sh600458	 时代新材
sh600008	 首创股份
sh603055	 台华新材
sh600780	 通宝能源
sh600673	 东阳光
sh600505	 西昌电力
sh600242	 中昌数据
sh601228	 广州港
sh600581	 八一钢铁
sh600320	 振华重工
sh603603	 博天环境
sh603365	 水星家纺
sh600820	 隧道股份
sh600639	 浦东金桥
sh600578	 京能电力
sh603568	 伟明环保
sh601965	 中国汽研
sh601595	 上海电影
sh600792	 云煤能源
sh600686	 金龙汽车
sh600620	 天宸股份
sh600439	 瑞贝卡
sh600217	 中再资环
sh600106	 重庆路桥
sh603158	 腾龙股份
sh601015	 陕西黑猫
sh600529	 山东药玻
sh600715	 文投控股
sh600587	 新华医疗
sh603131	 上海沪工
sh600326	 西藏天路
sh600195	 中牧股份
sh603267	 鸿远电子
sh600339	 中油工程
sh600159	 大龙地产
sh601006	 大秦铁路
sh600965	 福成股份
sh600873	 梅花生物
sh600243	 *ST海华
sh688068	 热景生物
sh603169	 兰石重装
sh603156	 养元饮品
sh600167	 联美控股
sh603530	 神马电力
sh600698	 ST天雁
sh600317	 营口港
sh600331	 宏达股份
sh603819	 神力股份
sh603029	 天鹅股份
sh600683	 京投发展
sh600482	 中国动力
sh601236	 红塔证券
sh600652	 ST游久
sh600569	 安阳钢铁
sh603758	 秦安股份
sh600184	 光电股份
sh603587	 地素时尚
sh600739	 辽宁成大
sh600503	 华丽家族
sh600267	 海正药业
sh603515	 欧普照明
sh603368	 柳药股份
sh601366	 利群股份
sh603699	 纽威股份
sh603301	 振德医疗
sh601107	 四川成渝
sh603200	 上海洗霸
sh603096	 新经典
sh601718	 际华集团
sh600926	 杭州银行
sh600199	 金种子酒
sh600522	 中天科技
sh603177	 德创环保
sh600746	 江苏索普
sh600059	 古越龙山
sh601928	 凤凰传媒
sh600573	 惠泉啤酒
sh603656	 泰禾光电
sh603665	 康隆达
sh600133	 东湖高新
sh600866	 星湖科技
sh600761	 安徽合力
sh600200	 江苏吴中
sh603196	 日播时尚
sh603880	 南卫股份
sh600595	 ST中孚
sh603326	 我乐家居
sh603300	 华铁应急
sh603188	 ST亚邦
sh601100	 恒立液压
sh600674	 川投能源
sh600648	 外高桥
sh600143	 金发科技
sh600993	 马应龙
sh600881	 亚泰集团
sh600708	 光明地产
sh600190	 锦州港
sh600491	 龙元建设
sh603536	 惠发食品
sh601989	 中国重工
sh600594	 益佰制药
sh600306	 *ST商城
sh600111	 北方稀土
sh600048	 保利地产
sh600026	 中远海能
sh603077	 和邦生物
sh601799	 星宇股份
sh601155	 新城控股
sh600540	 新赛股份
sh601606	 长城军工
sh600771	 广誉远
sh600549	 厦门钨业
sh600435	 北方导航
sh600325	 华发股份
sh603959	 百利科技
sh603726	 朗迪集团
sh603706	 东方环宇
sh600356	 恒丰纸业
sh600079	 人福医药
sh601611	 中国核建
sh600248	 延长化建
sh600094	 大名城
sh603689	 皖天然气
sh603599	 广信股份
sh600478	 科力远
sh600058	 五矿发展
sh601179	 中国西电
sh600694	 大商股份
sh603977	 国泰集团
sh600679	 上海凤凰
sh600449	 宁夏建材
sh600396	 金山股份
sh603685	 晨丰科技
sh600366	 宁波韵升
sh600975	 新五丰
sh600665	 天地源
sh600084	 ST中葡
sh603035	 常熟汽饰
sh600496	 精工钢构
sh600490	 鹏欣资源
sh600303	 曙光股份
sh600600	 青岛啤酒
sh600187	 国中水务
sh603990	 麦迪科技
sh603906	 龙蟠科技
sh603308	 应流股份
sh600238	 ST椰岛
sh600089	 特变电工
sh603507	 振江股份
sh603398	 邦宝益智
sh601991	 大唐发电
sh600259	 广晟有色
sh600526	 菲达环保
sh600321	 正源股份
sh600060	 海信视像
sh603616	 韩建河山
sh600729	 重庆百货
sh600429	 三元股份
sh603585	 苏利股份
sh600980	 北矿科技
sh600255	 *ST梦舟
sh600218	 全柴动力
sh688298	 东方生物
sh603866	 桃李面包
sh600811	 东方集团
sh600481	 双良节能
sh600461	 洪城水业
sh603214	 爱婴室
sh600310	 桂东电力
sh600230	 沧州大化
sh603157	 拉夏贝尔
sh600883	 博闻科技
sh600681	 百川能源
sh603058	 永吉股份
sh600726	 华电能源
sh600186	 莲花健康
sh600368	 五洲交通
sh600408	 ST安泰
sh603879	 永悦科技
sh601388	 怡球资源
sh600765	 中航重机
sh600543	 莫高股份
sh600338	 西藏珠峰
sh600990	 四创电子
sh600513	 联环药业
sh600785	 新华百货
sh603903	 中持股份
sh600614	 *ST鹏起
sh601952	 苏垦农发
sh603123	 翠微股份
sh600875	 东方电气
sh600220	 江苏阳光
sh603869	 新智认知
sh600527	 江南高纤
sh600452	 涪陵电力
sh600150	 中国船舶
sh600603	 广汇物流
sh600107	 美尔雅
sh603797	 联泰环保
sh603333	 尚纬股份
sh601068	 中铝国际
sh603060	 国检集团
sh600685	 中船防务
sh600606	 绿地控股
sh600516	 方大炭素
sh603997	 继峰股份
sh603557	 起步股份
sh600559	 老白干酒
sh600939	 重庆建工
sh600370	 三房巷
sh688021	 奥福环保
sh600131	 国网信通
sh601890	 亚星锚链
sh603030	 全筑股份
sh603389	 *ST亚振
sh600027	 华电国际
sh603079	 圣达生物
sh601106	 中国一重
sh600612	 老凤祥
sh600279	 重庆港九
sh600545	 卓郎智能
sh600510	 黑牡丹
sh600636	 国新文化
sh600501	 航天晨光
sh601369	 陕鼓动力
sh600072	 中船科技
sh600039	 四川路桥
sh600075	 新疆天业
sh600592	 龙溪股份
sh600643	 爱建集团
sh600523	 贵航股份
sh601882	 海天精工
sh600197	 伊力特
sh600163	 中闽能源
sh600151	 航天机电
sh600998	 九州通
sh603655	 朗博科技
sh603755	 日辰股份
sh601011	 宝泰隆
sh600888	 新疆众和
sh603737	 三棵树
sh603181	 皇马科技
sh603970	 中农立华
sh600654	 ST中安
sh600105	 永鼎股份
sh600316	 洪都航空
sh603399	 吉翔股份
sh600692	 亚通股份
sh600748	 上实发展
sh603538	 美诺华
sh600250	 南纺股份
sh600383	 金地集团
sh600010	 包钢股份
sh688358	 祥生医疗
sh603033	 三维股份
sh600480	 凌云股份
sh600313	 农发种业
sh600466	 蓝光发展
sh600116	 XD三峡水
sh600598	 北大荒
sh600628	 新世界
sh600988	 赤峰黄金
sh600531	 豫光金铅
sh600081	 东风科技
sh600711	 盛屯矿业
sh600354	 *ST敦种
sh600764	 中国海防
sh603088	 宁波精达
sh600961	 株冶集团
sh600168	 武汉控股
sh603729	 龙韵股份
sh600882	 妙可蓝多
sh600823	 世茂股份
sh603855	 华荣股份
sh600807	 ST天业
sh600148	 长春一东
sh600127	 金健米业
sh600350	 山东高速
sh600086	 东方金钰
sh603363	 傲农生物
sh600191	 华资实业
sh601058	 赛轮轮胎
sh603982	 泉峰汽车
sh600227	 圣济堂
sh603680	 今创集团
sh603601	 再升科技
sh603063	 禾望电气
sh601899	 紫金矿业
sh600855	 航天长峰
sh600844	 丹化科技
sh601168	 西部矿业
sh601020	 华钰矿业
sh601069	 西部黄金
sh600856	 *ST中天
sh600575	 淮河能源
sh600766	 园城黄金
sh603456	 九洲药业
sh600666	 ST瑞德
sh600568	 中珠医疗
sh600518	 ST康美
sh601212	 白银有色
sh603387	 基蛋生物
sh600489	 中金黄金
sh600225	 *ST松江
sh600781	 ST辅仁
sh600069	 *ST银鸽
sh600555	 *ST海创
sh600687	 *ST刚泰
sh600112	 ST天成
sh603996	 *ST中新
sh600119	 ST长投
sh600083	 *ST博信
sh600290	 *ST华仪
sh600311	 *ST荣华
sh600247	 ST成城
sh600175	 *ST美都
sh600547	 山东黄金
sh600978	 *ST宜生
sh600074	 退市保千
sh600146	 商赢环球
sh600393	 粤泰股份
sh603829	 洛凯股份
sh601558	 退市锐电
sz002084	 海鸥住工
sz000584	 哈工智能
sz300330	 华虹计通
sz002498	 汉缆股份
sz300831	 派瑞股份
sz300328	 宜安科技
sz300293	 蓝英装备
sz002988	 豪美新材
sz000609	 中迪投资
sz300755	 华致酒行
sz300740	 御家汇
sz300443	 金雷股份
sz002272	 川润股份
sz002046	 轴研科技
sz000615	 京汉股份
sz300830	 金现代
sz300655	 晶瑞股份
sz300644	 南京聚隆
sz300505	 川金诺
sz300460	 惠伦晶体
sz002980	 华盛昌
sz002915	 中欣氟材
sz002655	 共达电声
sz300832	 新产业
sz300829	 金丹科技
sz300792	 壹网壹创
sz300624	 万兴科技
sz300576	 容大感光
sz300223	 北京君正
sz002985	 北摩高科
sz002978	 安宁股份
sz002871	 伟隆股份
sz002729	 好利来
sz002409	 雅克科技
sz002371	 北方华创
sz002049	 紫光国微
sz000788	 北大医药
sz000403	 双林生物
sz002853	 皮阿诺
sz002725	 跃岭股份
sz300398	 飞凯材料
sz300260	 新莱应材
sz300002	 神州泰岳
sz000716	 黑芝麻
sz002612	 朗姿股份
sz000557	 西部创业
sz300716	 国立科技
sz002713	 东易日盛
sz002449	 国星光电
sz002397	 梦洁股份
sz000151	 中成股份
sz300351	 永贵电器
sz002662	 京威股份
sz002297	 博云新材
sz000616	 海航投资
sz000564	 供销大集
sz300298	 三诺生物
sz300623	 捷捷微电
sz000710	 贝瑞基因
sz000546	 金圆股份
sz300161	 华中数控
sz002074	 国轩高科
sz002880	 卫光生物
sz000636	 风华高科
sz300662	 科锐国际
sz002976	 瑞玛工业
sz002273	 水晶光电
sz300791	 仙乐健康
sz300346	 南大光电
sz300118	 东方日升
sz002741	 光华科技
sz002436	 兴森科技
sz000733	 振华科技
sz300031	 宝通科技
sz002331	 皖通科技
sz300418	 昆仑万维
sz002983	 芯瑞达
sz300706	 阿石创
sz002759	 天际股份
sz002702	 海欣食品
sz300577	 开润股份
sz300729	 乐歌股份
sz002345	 潮宏基
sz300496	 中科创达
sz002343	 慈文传媒
sz002813	 路畅科技
sz300724	 捷佳伟创
sz002353	 杰瑞股份
sz002975	 博杰股份
sz300144	 宋城演艺
sz300484	 蓝海华腾
sz002283	 天润工业
sz002539	 云图控股
sz300019	 硅宝科技
sz000915	 山大华特
sz002007	 华兰生物
sz300263	 隆华科技
sz300567	 精测电子
sz300429	 强力新材
sz300666	 江丰电子
sz000620	 新华联
sz300568	 星源材质
sz300598	 诚迈科技
sz300313	 天山生物
sz000823	 超声电子
sz300056	 中创环保
sz300274	 阳光电源
sz002919	 名臣健康
sz300139	 晓程科技
sz300721	 怡达股份
sz300661	 圣邦股份
sz300171	 东富龙
sz300206	 理邦仪器
sz002661	 克明面业
sz300294	 博雅生物
sz002277	 友阿股份
sz002560	 通达股份
sz300132	 青松股份
sz300454	 深信服
sz300707	 威唐工业
sz300677	 英科医疗
sz002822	 中装建设
sz300022	 吉峰科技
sz002430	 杭氧股份
sz000600	 建投能源
sz002501	 *ST利源
sz000066	 中国长城
sz300102	 乾照光电
sz002326	 永太科技
sz300207	 欣旺达
sz002076	 *ST雪莱
sz000856	 冀东装备
sz002756	 永兴材料
sz000038	 深大通
sz300279	 和晶科技
sz000301	 东方盛虹
sz002407	 多氟多
sz002751	 易尚展示
sz002712	 思美传媒
sz002354	 *ST天娱
sz000837	 *ST秦机
sz002429	 兆驰股份
sz000971	 *ST高升
sz300770	 新媒股份
sz300767	 震安科技
sz000848	 承德露露
sz002247	 *ST聚力
sz002323	 *ST百特
sz000408	 *ST藏格
sz002445	 *ST中南
sz300226	 上海钢联
sz300219	 鸿利智汇
sz002575	 ST群兴
sz300133	 华策影视
sz002129	 中环股份
sz002428	 云南锗业
sz300656	 民德电子
sz300200	 高盟新材
sz300725	 药石科技
sz002621	 美吉姆
sz300808	 久量股份
sz300563	 神宇股份
sz300042	 朗科科技
sz002127	 南极电商
sz002902	 铭普光磁
sz002971	 和远气体
sz300456	 赛微电子
sz002745	 木林森
sz002079	 苏州固锝
sz002264	 新 华 都
sz300167	 迪威迅
sz002643	 万润股份
sz300826	 测绘股份
sz300196	 长海股份
sz002970	 锐明技术
sz300782	 卓胜微
sz300572	 安车检测
sz300511	 雪榕生物
sz300747	 锐科激光
sz300821	 东岳硅材
sz300508	 维宏股份
sz002093	 国脉科技
sz002241	 歌尔股份
sz300825	 阿尔特
sz002456	 欧菲光
sz002199	 东晶电子
sz300501	 海顺新材
sz300079	 数码科技
sz002416	 爱施德
sz300416	 苏试试验
sz002174	 游族网络
sz300538	 同益股份
sz300537	 广信材料
sz002669	 康达新材
sz300671	 富满电子
sz300446	 乐凯新材
sz300054	 鼎龙股份
sz002568	 百润股份
sz000962	 东方钽业
sz300726	 宏达电子
sz300458	 全志科技
sz000021	 深科技
sz002903	 宇环数控
sz000663	 *ST永林
sz300634	 彩讯股份
sz300785	 值得买
sz000731	 四川美丰
sz002230	 科大讯飞
sz300316	 晶盛机电
sz002920	 德赛西威
sz002390	 信邦制药
sz300474	 景嘉微
sz002484	 江海股份
sz300386	 飞天诚信
sz002892	 科力尔
sz300801	 泰和科技
sz002375	 亚厦股份
sz300817	 双飞股份
sz300812	 易天股份
sz000987	 越秀金控
sz300094	 国联水产
sz002439	 启明星辰
sz300419	 浩丰科技
sz002302	 西部建设
sz300603	 立昂技术
sz300245	 天玑科技
sz300296	 利亚德
sz002577	 雷柏科技
sz300433	 蓝思科技
sz300395	 菲利华
sz300081	 恒信东方
sz002809	 红墙股份
sz300828	 锐新科技
sz000977	 浪潮信息
sz300151	 昌红科技
sz300659	 中孚信息
sz002184	 海得控制
sz300749	 顶固集创
sz002946	 新乳业
sz002660	 茂硕电源
sz002597	 金禾实业
sz300232	 洲明科技
sz002185	 华天科技
sz002918	 蒙娜丽莎
sz300450	 先导智能
sz002541	 鸿路钢构
sz000100	 TCL科技
sz300265	 通光线缆
sz002398	 垒知集团
sz002169	 智光电气
sz002850	 科达利
sz300525	 博思软件
sz002213	 特 尔 佳
sz300413	 芒果超媒
sz002893	 华通热力
sz002684	 *ST猛狮
sz300743	 天地数码
sz300331	 苏大维格
sz002534	 杭锅股份
sz002036	 联创电子
sz300632	 光莆股份
sz300509	 新美星
sz300280	 紫天科技
sz000428	 华天酒店
sz300604	 长川科技
sz002413	 雷科防务
sz002304	 洋河股份
sz300688	 创业黑马
sz300594	 朗进科技
sz300556	 丝路视觉
sz002192	 *ST融捷
sz300619	 金银河
sz300319	 麦捷科技
sz002351	 漫步者
sz300179	 四方达
sz300751	 迈为股份
sz002908	 德生科技
sz000061	 农 产 品
sz002697	 红旗连锁
sz002062	 宏润建设
sz000948	 南天信息
sz002311	 海大集团
sz300327	 中颖电子
sz300823	 建科机械
sz300455	 康拓红外
sz002103	 广博股份
sz002008	 大族激光
sz300493	 润欣科技
sz002384	 东山精密
sz300092	 科新机电
sz300301	 长方集团
sz002962	 五方光电
sz002582	 好想你
sz002165	 红 宝 丽
sz002021	 *ST中捷
sz300612	 宣亚国际
sz300236	 上海新阳
sz002938	 鹏鼎控股
sz300601	 康泰生物
sz002043	 兔 宝 宝
sz000938	 紫光股份
sz300303	 聚飞光电
sz300394	 天孚通信
sz300373	 扬杰科技
sz002981	 朝阳科技
sz300445	 康斯特
sz300380	 安硕信息
sz002442	 龙星化工
sz002197	 证通电子
sz300593	 新雷能
sz002609	 捷顺科技
sz002967	 广电计量
sz002405	 四维图新
sz300541	 先进数通
sz300605	 恒锋信息
sz000702	 正虹科技
sz002373	 千方科技
sz300268	 佳沃股份
sz002475	 立讯精密
sz300629	 新劲刚
sz002156	 通富微电
sz002891	 中宠股份
sz002648	 卫星石化
sz300819	 聚杰微纤
sz300259	 新天科技
sz002917	 金奥博
sz000967	 盈峰环境
sz002028	 思源电气
sz300693	 盛弘股份
sz300533	 冰川网络
sz002895	 川恒股份
sz002698	 博实股份
sz002689	 远大智能
sz002485	 希努尔
sz300518	 盛讯达
sz300097	 智云股份
sz000786	 北新建材
sz300075	 数字政通
sz002952	 亚世光电
sz300195	 长荣股份
sz300710	 万隆光电
sz300238	 冠昊生物
sz002170	 芭田股份
sz002107	 沃华医药
sz000050	 深天马Ａ
sz002653	 海思科
sz300115	 长盈精密
sz002856	 美芝股份
sz002840	 华统股份
sz000897	 *ST津滨
sz300368	 汇金股份
sz002218	 拓日新能
sz300555	 路通视信
sz300143	 盈康生命
sz002584	 西陇科学
sz002497	 雅化集团
sz002190	 *ST集成
sz300379	 东方通
sz300739	 明阳电路
sz002928	 华夏航空
sz002023	 海特高新
sz000799	 酒鬼酒
sz300793	 佳禾智能
sz300687	 赛意信息
sz002688	 金河生物
sz002158	 汉钟精机
sz300727	 润禾材料
sz300708	 聚灿光电
sz002651	 利君股份
sz000818	 航锦科技
sz000612	 焦作万方
sz002362	 汉王科技
sz300622	 博士眼镜
sz000416	 民生控股
sz002352	 顺丰控股
sz002300	 太阳电缆
sz002830	 名雕股份
sz002803	 吉宏股份
sz002585	 双星新材
sz002066	 瑞泰科技
sz000800	 一汽轿车
sz000566	 海南海药
sz300040	 九洲电气
sz002270	 华明装备
sz000521	 长虹美菱
sz300543	 朗科智能
sz300415	 伊之密
sz002559	 亚威股份
sz002600	 领益智造
sz000882	 华联股份
sz300308	 中际旭创
sz002421	 达实智能
sz002308	 威创股份
sz300761	 立华股份
sz002432	 九安医疗
sz300731	 科创新源
sz300697	 电工合金
sz002650	 加加食品
sz000831	 五矿稀土
sz300699	 光威复材
sz300323	 华灿光电
sz300112	 万讯自控
sz000016	 深康佳Ａ
sz300691	 联合光电
sz300672	 国科微
sz300796	 贝斯美
sz300387	 富邦股份
sz300350	 华鹏飞
sz300816	 艾可蓝
sz300384	 三联虹普
sz002951	 金时科技
sz002443	 金洲管道
sz002423	 中粮资本
sz300170	 汉得信息
sz300773	 拉卡拉
sz002519	 银河电子
sz300442	 普丽盛
sz300306	 远方信息
sz002771	 真视通
sz002734	 利民股份
sz300494	 盛天网络
sz300096	 易联众
sz002376	 新北洋
sz002131	 利欧股份
sz000581	 威孚高科
sz300089	 文化长城
sz300088	 长信科技
sz002531	 天顺风能
sz300787	 海能实业
sz002635	 安洁科技
sz002080	 中材科技
sz300522	 世名科技
sz000010	 *ST美丽
sz300642	 透景生命
sz002150	 通润装备
sz300348	 长亮科技
sz002579	 中京电子
sz002338	 奥普光电
sz300736	 百邦科技
sz300709	 精研科技
sz300389	 艾比森
sz300046	 台基股份
sz300153	 科泰电源
sz002414	 高德红外
sz002229	 鸿博股份
sz002789	 建艺集团
sz002717	 岭南股份
sz002024	 苏宁易购
sz002125	 湘潭电化
sz300638	 广和通
sz300399	 京天利
sz000810	 创维数字
sz300678	 中科信息
sz300122	 智飞生物
sz300053	 欧比特
sz000812	 陕西金叶
sz300648	 星云股份
sz300519	 新光药业
sz300499	 高澜股份
sz000910	 大亚圣象
sz002827	 高争民爆
sz300590	 移为通信
sz300382	 斯莱克
sz300121	 阳谷华泰
sz300561	 汇金科技
sz300476	 胜宏科技
sz002119	 康强电子
sz002104	 恒宝股份
sz000657	 中钨高新
sz300512	 中亚股份
sz002942	 新农股份
sz002715	 登云股份
sz002537	 海联金汇
sz002459	 晶澳科技
sz000678	 襄阳轴承
sz300618	 寒锐钴业
sz300281	 金明精机
sz000835	 长城动漫
sz000422	 ST宜化
sz300827	 上能电气
sz300768	 迪普科技
sz002747	 埃斯顿
sz002162	 悦心健康
sz300276	 三丰智能
sz002502	 *ST鼎龙
sz300674	 宇信科技
sz300256	 星星科技
sz002572	 索菲亚
sz300758	 七彩化学
sz300703	 创源文化
sz300333	 兆日科技
sz002982	 湘佳股份
sz002875	 安奈儿
sz002610	 爱康科技
sz300131	 英唐智控
sz002306	 ST云网
sz300578	 会畅通讯
sz300013	 新宁物流
sz002149	 西部材料
sz002601	 龙蟒佰利
sz002253	 川大智胜
sz300338	 开元股份
sz300155	 安居宝
sz300024	 机器人
sz002558	 巨人网络
sz300135	 宝利国际
sz000586	 汇源通信
sz000333	 美的集团
sz300742	 越博动力
sz300620	 光库科技
sz300615	 欣天科技
sz002606	 大连电瓷
sz300569	 天能重工
sz002703	 浙江世宝
sz002536	 飞龙股份
sz002099	 海翔药业
sz002452	 长高集团
sz000721	 西安饮食
sz002906	 华阳集团
sz002212	 南洋股份
sz300513	 恒实科技
sz300479	 神思电子
sz300465	 高伟达
sz300400	 劲拓股份
sz002666	 德联集团
sz002565	 顺灏股份
sz300403	 汉宇集团
sz002812	 恩捷股份
sz002589	 瑞康医药
sz300453	 三鑫医疗
sz300336	 新文化
sz300166	 东方国信
sz002897	 意华股份
sz000049	 德赛电池
sz300653	 正海生物
sz300515	 三德科技
sz300005	 探路者
sz300682	 朗新科技
sz300643	 万通智控
sz300165	 天瑞仪器
sz002810	 山东赫达
sz002769	 普路通
sz002595	 豪迈科技
sz300695	 兆丰股份
sz002833	 弘亚数控
sz002808	 恒久科技
sz002675	 东诚药业
sz000821	 京山轻机
sz000626	 远大控股
sz300613	 富瀚微
sz300100	 双林股份
sz002845	 同兴达
sz002387	 维信诺
sz000722	 湖南发展
sz300580	 贝斯特
sz000631	 顺发恒业
sz300807	 天迈科技
sz300004	 南风股份
sz002887	 绿茵生态
sz300684	 中石科技
sz300318	 博晖创新
sz300270	 中威电子
sz300058	 蓝色光标
sz002138	 顺络电子
sz300288	 朗玛信息
sz002963	 豪尔赛
sz002824	 和胜股份
sz002044	 美年健康
sz002861	 瀛通通讯
sz002796	 世嘉科技
sz002685	 华东重机
sz002543	 万和电气
sz002444	 巨星科技
sz002282	 博深股份
sz000028	 国药一致
sz300802	 矩子科技
sz300264	 佳创视讯
sz000819	 岳阳兴长
sz000545	 金浦钛业
sz300579	 数字认证
sz300278	 华昌达
sz300160	 秀强股份
sz002886	 沃特股份
sz002781	 奇信股份
sz002145	 中核钛白
sz000668	 荣丰控股
sz002538	 司尔特
sz300314	 戴维医疗
sz000150	 宜华健康
sz002866	 传艺科技
sz002576	 通达动力
sz300464	 星徽精密
sz300188	 美亚柏科
sz002965	 祥鑫科技
sz002448	 中原内配
sz300342	 天银机电
sz002972	 科安达
sz002905	 金逸影视
sz300667	 必创科技
sz300285	 国瓷材料
sz002652	 扬子新材
sz300037	 新宙邦
sz300822	 贝仕达克
sz002347	 泰尔股份
sz300771	 智莱科技
sz300599	 雄塑科技
sz002793	 罗欣药业
sz000695	 滨海能源
sz300138	 晨光生物
sz300116	 坚瑞沃能
sz300641	 正丹股份
sz000753	 漳州发展
sz300631	 久吾高科
sz002594	 比亚迪
sz002447	 *ST晨鑫
sz000089	 深圳机场
sz300383	 光环新网
sz300113	 顺网科技
sz000720	 新能泰山
sz300588	 熙菱信息
sz002059	 云南旅游
sz000903	 云内动力
sz300760	 迈瑞医疗
sz300633	 开立医疗
sz002857	 三晖电气
sz002802	 洪汇新材
sz002189	 中光学
sz002180	 纳思达
sz300292	 吴通控股
sz300136	 信维通信
sz300010	 立思辰
sz002798	 帝欧家居
sz002322	 理工环科
sz002154	 报 喜 鸟
sz300735	 光弘科技
sz300375	 鹏翎股份
sz002469	 三维工程
sz300573	 兴齐眼药
sz300520	 科大国创
sz300407	 凯发电气
sz002862	 实丰文化
sz002382	 蓝帆医疗
sz002064	 华峰氨纶
sz002053	 云南能投
sz000596	 古井贡酒
sz000062	 深圳华强
sz300470	 中密控股
sz300101	 振芯科技
sz300036	 超图软件
sz002676	 顺威股份
sz300587	 天铁股份
sz002605	 姚记科技
sz300745	 欣锐科技
sz300720	 海川智能
sz300410	 正业科技
sz300732	 设研院
sz300021	 大禹节水
sz002899	 英派斯
sz002166	 莱茵生物
sz000156	 华数传媒
sz300809	 华辰装备
sz300798	 锦鸡股份
sz002542	 中化岩土
sz002284	 亚太股份
sz300712	 永福股份
sz300628	 亿联网络
sz002885	 京泉华
sz002820	 桂发祥
